Num Comments,User Link,DisplayName,Reputation
257,60825,Jim Mack,6912
302,7396,FrustratedWithFormsDesigner,6881
62,1009,e.James,6849
313,30784,tylerharms,6842
521,216308,mahmud koya,6842
167,11762,yoozer8,6790
231,1798,JoseK,6763
766,75154,Flater,6758
534,20156,Cyberherbalist,6717
324,19894,JAM,6646
288,46916,Zibbobz,6639
683,60923,Elliott Frisch,6619
1301,26083,Scott,6619
158,11396,Jeremy,6607
1547,223618,Xanne,6602
782,155456,John Clifford,6576
165,111985,David Blomstrom,6573
315,4070,janoChen,6568
240,6764,Kevin,6550
174,19644,Cameron,6532
120,6534,snumpy,6477
235,16310,200_success,6457
193,13711,Terry Li,6449
88,4796,Waggers,6418
173,66653,Ronan,6332
277,3820,Rory Alsop,6314
123,4951,mgkrebbs,6297
602,33153,Mynamite,6246
113,2386,Jonathan Leffler,6245
313,196793,John Feltz,6238
488,71848,JJJ,6203
279,71576,Gary's Student,6197
152,13178,Avner Shahar-Kashtan,6170
566,148605,Mark Hubbard,6140
766,184766,BladorthinTheGrey,6133
332,3800,oosterwal,6102
110,6433,Stuart Allen,6092
307,94867,A E,6076
198,53711,Nathaniel,6034
146,10929,Paul Amerigo Pajo,5995
47,4744,The English Chicken,5977
243,61581,Neil W,5935
426,44946,Michael Harvey,5890
285,143429,Stu W,5865
1145,90320,Kate Bunting,5839
1006,231519,English Student,5799
1098,57102,F.E.,5787
329,24117,Zairja,5763
369,78415,Matt Gutting,5714
156,7397,Lunivore,5697
1273,213359,Tom22,5674
173,7261,dangph,5639
490,2923,John Y,5636
242,303,Steve Melnikoff,5616
296,6858,Karl,5597
1014,129806,michael_timofeev,5575
237,64748,jejorda2,5566
92,22911,Marcus_33,5544
229,4929,tenfour,5530
68,1446,Anderson Silva,5522
1179,191850,BoldBen,5469
195,223,mmyers,5455
46,89,Charlie,5440
364,28567,snailboat,5439
535,155553,linguisticturn,5416
666,216106,Davo,5402
219,43961,Phil M Jones,5363
398,273295,Bread,5325
157,22318,Daniel Harbour,5324
281,105642,anemone,5315
90,12490,Joel Brown,5246
39,11481,Nicholas,5217
413,158132,Rob_Ster,5152
53,7436,gbutters,5140
198,65490,fdb,5125
398,78544,talrnu,5101
77,70585,GMB,5095
701,174243,David,5084
372,117446,Avon,5058
61,8068,MikeVaughan,5055
1295,215927,Yosef Baskin,5032
67,119020,Nuclear Wang,5019
702,184706,Helmar,4944
467,1696,TRiG,4932
525,124023,JHCL,4926
56,33118,Benyamin Hamidekhoo,4909
67,168654,SGR,4894
458,114389,Dog Lover,4871
38,122,cindi,4861
19,1914,Joshua Karstendick,4855
388,115101,Benjamin Harman,4849
547,3175,hippietrail,4838
131,8975,Philoto,4757
63,2944,John Satta,4739
619,206168,Hank,4735
95,88871,Deepak,4705
387,4915,Ellie Kesselman,4670
264,683,Tim,4668
50,6346,nicholas ainsworth,4667
234,2972,Tragicomic,4661
459,2253,Orbling,4610
53,6100,Kelly Hess,4604
491,109885,Steven Littman,4602
51,3006,Alex,4599
894,71783,Frank,4598
216,48864,Rusty Tuba,4594
62,69786,Mike R,4594
325,2249,Jason Orendorff,4580
1350,59258,curiousdannii,4555
276,6686,Sam,4553
57,12255,D Krueger,4546
459,102411,stevesliva,4518
374,72071,barbecue,4507
317,125388,Soudabeh,4499
335,6067,Marcin,4488
322,5737,nico,4483
116,4889,Grant Thomas,4462
96,5584,Peter Olson,4447
509,206690,J. Taylor,4441
336,60632,keshlam,4441
233,48653,Michael Owen Sartin,4432
332,51991,Lumberjack,4407
16,142,rem,4402
2179,210913,9fyj'j55-8ujfr5yhjky-'tt6yhkjj,4392
736,194281,marcellothearcane,4377
46,202912,0xFEE1DEAD,4366
142,309120,bookmanu,4362
519,94160,fixer1234,4352
130,161,Neil Fein,4320
72,179,JohnFx,4311
290,14981,Nate Eldredge,4300
112,28951,Fortiter,4287
80,67,moioci,4274
66,16244,Mustafa,4271
60,58,J.T. Grimes,4266
33,10166,jimreed,4246
209,11761,Autoresponder,4239
367,19579,Kaz,4239
149,71333,Nick2253,4228
131,1755,Tsuyoshi Ito,4223
526,2270,brilliant,4213
114,176820,PV22,4209
2570,141248,BillJ,4193
784,13287,phoog,4167
94,112075,Paul Rowe,4085
420,163930,Spencer,4084
177,597,mickeyf,4079
416,50720,Greek - Area 51 Proposal,4059
121,78569,brasshat,4057
165,9548,ChrisW,4009
44,68122,chapka,3996
56,6807,Caleb,3995
23,177147,vynsane,3995
201,87018,tunny,3982
142,86291,Hans Adler,3980
61,78,Alan Hogue,3973
33,11006,Andrew Neely,3964
97,160066,davidlol,3949
179,122465,Julie Carter,3941
164,73657,Dan Sheppard,3931
52,14292,Brendon,3920
331,45432,Patrick M,3911
240,246168,Jeff Zeitlin,3895
632,130346,Azor Ahai,3885
318,63230,andy256,3881
86,1165,Gilles,3877
206,24589,KRyan,3863
352,42481,P. O.,3837
245,121987,Margana,3837
137,15264,alcas,3835
65,12762,Mark,3828
197,145161,Nonnal,3824
242,283332,Pam,3817
78,12586,Affable Geek,3792
562,190025,Peter Point,3782
682,86388,SrJoven,3756
136,231148,thomj1332,3755
226,529,Benjol,3755
181,162337,JonLarby,3746
137,2986,Chris B. Behrens,3729
253,3542,Peter Taylor,3722
17,1146,Antony Quinn,3721
158,87724,Rand al'Thor,3715
144,36752,ElendilTheTall,3704
88,8934,Christi,3701
104,120,Jonik,3670
205,295228,Ahmed,3654
908,63503,David Richerby,3642
246,23,kitukwfyer,3630
426,124936,Tonepoet,3627
45,42834,MikeRoger,3625
122,74467,njboot,3613
145,68094,user3306356,3585
57,2175,Gareth Rees,3570
92,69536,568ml,3565
90,642,BradC,3556
85,3231,Peter K.,3554
318,252455,Tuffy,3541
96,5360,Dancrumb,3520
137,3461,msh210,3517
116,60740,emsoff,3512
215,12918,Laure,3508
101,126252,James,3505
156,2302,CJM,3482
151,42471,Wrzlprmft,3476
409,4552,horatio,3470
133,27272,curious-proofreader,3466
97,54112,Vilmar,3463
130,148408,CDM,3447
66,49489,Eric Hauenstein,3437
22,114907,Herr Pink,3419
252,39425,fredsbend,3418
266,26971,itsbruce,3418
484,121385,Catija,3404
102,16962,LessPop_MoreFizz,3403
60,85733,mikeagg,3398
37,243091,Devil07,3398
26,107561,sojourner,3394
304,113391,alephzero,3391
196,19046,Alex B.,3387
14,146,Mysterion,3372
177,26327,Merk,3369
116,3320,Andy F,3367
97,17259,Schroedingers Cat,3366
382,3703,Lightness Races in Orbit,3362
128,44962,GetzelR,3353
60,38108,Archy Wilhes 魏何,3352
707,8278,Pacerier,3337
186,64481,Leon Conrad,3332
204,148459,Skooba,3328
37,15184,Tony Balmforth,3327
94,3876,gpr,3320
102,2172,Eldroß,3314
245,23834,New Alexandria,3308
226,103809,Eilia,3289
142,134,OneProton,3276
550,144121,AmI,3270
262,230552,tmgr,3243
172,1304,CesarGon,3235
357,108658,JonMark Perry,3219
301,20504,TecBrat,3218
203,64105,Digital Chris,3208
122,157141,Charl E,3207
61,8887,rest_day,3185
66,1065,J D OConal,3179
350,59495,Unrelated,3177
68,13173,Matt,3172
298,97182,Jim Reynolds,3171
74,3328,Zoot,3162
80,20482,Fuhrmanator,3144
361,1421,ErikE,3137
78,68851,Terpsichore,3103
193,16040,Neeku,3094
70,2988,Brian Nixon,3093
165,95105,pyobum,3082
36,81822,Qaz,3078
37,143,cori,3077
126,93845,Gigili,3070
32,48553,Frank H.,3044
77,122201,hatchet,3024
276,270624,Jelila,3021
222,221,Oliver Mason,3000
276,51042,Talia Ford,2995
93,10810,Russell McMahon,2988
126,83310,PellMel,2986
2,75,Caleb Thompson,2978
264,142388,Færd,2975
41,94,Pops,2972
70,7225,Caleb,2959
173,3347,Matthew Read,2949
105,6385,teylyn,2936
230,14499,Kevin,2914
62,1812,Henry,2905
74,6238,Ernest Friedman-Hill,2905
306,17611,Martin Smith,2899
57,156196,Michael Seifert,2898
336,111918,Ian MacDonald,2897
97,9299,pavium,2891
32,3313,Jay,2888
19,1542,PyroTyger,2884
198,322168,KJO,2880
183,204057,Katherine Lockwood,2879
26,21,Peter Eisentraut,2877
337,52481,nxx,2876
61,1631,Scott Mitchell,2871
24,80210,pacoverflow,2868
227,19875,Paola,2858
142,130718,Yeshe,2858
95,252981,rjpond,2838
80,139435,Laurent Duval,2804
76,99654,March Ho,2798
40,9999,rintaun,2796
183,58798,Prem,2779
93,63734,MonkeyZeus,2772
301,16833,Em1,2763
169,53204,msam,2759
73,5877,language hacker,2752
186,1613,SevenSidedDie,2751
95,116579,alx,2749
92,327070,TaliesinMerlin,2726
1171,167396,Chappo,2719
22,10798,alexg,2712
109,11796,wfaulk,2705
122,12306,Wudang,2701
325,117675,David Pugh,2701
64,22178,DavidR,2674
32,133,Joel Spolsky,2667
38,130459,Michael_B,2665
104,48252,Simon B,2663
106,8889,Brad,2660
115,115786,WBT,2655
172,205876,Global Charm,2653
91,21210,Theo,2651
1,177,Ami,2649
201,70936,Tucker,2649
223,123403,user662852,2640
150,5438,IQAndreas,2630
16,2497,Michael Easter,2630
47,25574,IconDaemon,2622
261,82116,David K,2619
30,11977,RGW1976,2616
12,3743,Carlos,2613
134,70486,Christopher,2607
212,13812,zpletan,2595
27,91678,DJ Far,2579
